Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
std::__ostream_insert<char, std::char_traits<char>>	0.020012	0.020012	0.0	0.020012	0.0	0.0	0.0	0.0	0.0	80000000	23.4	23.4	0.800000	libstdc++.so.6.0.19	std::basic_ostream<char, std::char_traits<char>>& std::__ostream_insert<char, std::char_traits<char>>(std::basic_ostream<char, std::char_traits<char>>&, char const*, long)	[Unknown]	0x969a0
std::vector<float, std::allocator<float>>::operator=	0.020012	0.020012	0.010006	0.010006	0.0	0.0	0.0	0.0	0.0	96000000	11.7	11.7	1.333333	mscrush_on_general_charge	std::vector<float, std::allocator<float>>::operator=(std::vector<float, std::allocator<float>> const&)	[Unknown]	0x40c9e0
__mpn_mul	0.015009	0.015009	0.005003	0.010006	0.0	0.0	0.0	0.0	0.0	32000000	0.0	0.0	2.500000	libc-2.17.so	__mpn_mul	[Unknown]	0x46af0
__mpn_mul_1	0.015009	0.015009	0.010006	0.005003	0.0	0.0	0.0	0.0	0.0	32000000	0.0	0.0	2.000000	libc-2.17.so	__mpn_mul_1	[Unknown]	0x46f20
func@0x403910	0.015009	0.015009	0.0	0.015009	0.0	0.0	0.0	0.0	0.0	176000000	15.6	15.6	0.545455	mscrush_on_general_charge	func@0x403910	[Unknown]	0x403910
func@0x59660	0.015009	0.015009	0.010006	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libstdc++.so.6.0.19	func@0x59660	[Unknown]	0x59660
func@0x5b4f4	0.015009	0.015009	0.010006	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libstdc++.so.6.0.19	func@0x5b4f4	[Unknown]	0x5b4f4
std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int>>, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)1, (bool)0, (bool)1>>::~_Hashtable	0.015009	0.015009	0.0	0.015009	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		mscrush_on_general_charge	std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int>>, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)1, (bool)0, (bool)1>>::~_Hashtable(void)	[Unknown]	0x418020
__default_morecore	0.010006	0.010006	0.005003	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libc-2.17.so	__default_morecore	[Unknown]	0x88ed0
func@0x177b0	0.010006	0.010006	0.0	0.005003	0.005003	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libgomp.so.1.0.0	func@0x177b0	[Unknown]	0x177b0
func@0x18dc0	0.010006	0.010006	0.0	0.0	0.010006	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	libgomp.so.1.0.0	func@0x18dc0	[Unknown]	0x18dc0
func@0x4032f0	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	112000000	37.5	37.5	0.714286	mscrush_on_general_charge	func@0x4032f0	[Unknown]	0x4032f0
func@0x4034b0	0.010006	0.010006	0.010006	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		mscrush_on_general_charge	func@0x4034b0	[Unknown]	0x4034b0
func@0x8a5d0	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	80000000	78.1	78.1	1.200000	libstdc++.so.6.0.19	func@0x8a5d0	[Unknown]	0x8a5d0
std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int>>, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)1, (bool)0, (bool)1>>::_M_rehash	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		mscrush_on_general_charge	std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int>>, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)1, (bool)0, (bool)1>>::_M_rehash(unsigned long, unsigned long const&)	[Unknown]	0x40d5c0
std::basic_filebuf<char, std::char_traits<char>>::_M_convert_to_external	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	0	100.0	100.0		libstdc++.so.6.0.19	std::basic_filebuf<char, std::char_traits<char>>::_M_convert_to_external(char*, long)	[Unknown]	0xb72b0
std::basic_filebuf<char, std::char_traits<char>>::xsputn	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	16000000	13.4	13.4	7.000000	libstdc++.so.6.0.19	std::basic_filebuf<char, std::char_traits<char>>::xsputn(char const*, long)	[Unknown]	0xb5c40
std::locale::id::_M_id	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	32000000	0.0	0.0	0.0	libstdc++.so.6.0.19	std::locale::id::_M_id(void) const	[Unknown]	0x70010
std::ostream::_M_insert<long>	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	64000000	0.0	0.0	0.0	libstdc++.so.6.0.19	std::ostream& std::ostream::_M_insert<long>(long)	[Unknown]	0x96fb0
std::ostream::put	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	32000000	0.0	0.0	0.500000	libstdc++.so.6.0.19	std::ostream::put(char)	[Unknown]	0x964f0
std::ostream::sentry::sentry	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	96000000	31.3	31.3	0.500000	libstdc++.so.6.0.19	std::ostream::sentry::sentry(std::ostream&)	[Unknown]	0x96290
std::string::append	0.010006	0.010006	0.0	0.010006	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libstdc++.so.6.0.19	std::string::append(unsigned long, char)	[Unknown]	0xbed30
