         41662604 function calls (40090220 primitive calls) in 230.319 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    66182    0.070    0.000    0.371    0.000 event.py:374(start_event)
        1    0.070    0.070    0.070    0.070 {pandas._libs.writers.write_csv_rows}
26027/10824    0.069    0.000    0.622    0.000 context.py:180(get_meminfos)
    18219    0.068    0.000    0.231    0.000 reduction.py:48(dumps)
        1    0.068    0.068    0.068    0.068 swigfaiss.py:4570(IndexBinaryFlat)
   118560    0.068    0.000    0.069    0.000 {built-in method builtins.min}
    42027    0.068    0.000    0.430    0.000 utils.py:611(<lambda>)
     5128    0.067    0.000    0.068    0.000 compiler_machinery.py:356(resolve_requires)
   132364    0.067    0.000    0.137    0.000 event.py:84(__init__)
    35982    0.066    0.000    0.066    0.000 {built-in method numpy.arange}
  508/507    0.065    0.000    0.226    0.000 postproc.py:175(_patch_var_dels)
    42513    0.065    0.000    0.065    0.000 threading.py:734(_newname)
    42532    0.065    0.000    0.084    0.000 _weakrefset.py:81(add)
    23256    0.064    0.000    0.349    0.000 pool.py:450(apply_async)
    17094    0.063    0.000    0.106    0.000 _collections_abc.py:664(__contains__)
   320569    0.063    0.000    0.063    0.000 {method 'startswith' of 'str' objects}
  232/231    0.062    0.000    0.064    0.000 {built-in method _imp.create_dynamic}
     1334    0.062    0.000    0.355    0.000 std.py:353(format_meter)
   643125    0.062    0.000    0.062    0.000 {method 'extend' of 'list' objects}
     1372    0.062    0.000    0.141    0.000 analysis.py:118(compute_dead_maps)
   395463    0.061    0.000    0.065    0.000 {method 'add' of 'set' objects}
    95978    0.061    0.000    0.080    0.000 builder.py:351(_insert)
    30433    0.059    0.000    0.095    0.000 os.py:670(__getitem__)
    97489    0.059    0.000    0.112    0.000 threading.py:261(_is_owned)
    72610    0.056    0.000    0.215    0.000 numeric.py:1861(_frombuffer)
54366/45407    0.055    0.000    0.157    0.000 contextlib.py:117(__exit__)
    42028    0.054    0.000    0.682    0.000 utils.py:364(func)
       49    0.054    0.001    0.054    0.001 {method 'astype' of 'numpy.ndarray' objects}
    35870    0.051    0.000   34.338    0.001 pool.py:764(get)
   141732    0.051    0.000    0.065    0.000 event.py:249(on_start)
   191351    0.051    0.000    0.051    0.000 {built-in method faiss._swigfaiss.swig_ptr}
    84646    0.050    0.000    0.095    0.000 values.py:239(_get_reference)
   139506    0.050    0.000    0.050    0.000 {method '__enter__' of '_thread.lock' objects}
    42520    0.050    0.000    0.050    0.000 threading.py:1177(_make_invoke_excepthook)
    62922    0.049    0.000    0.540    0.000 ffi.py:73(__exit__)
64180/26361    0.049    0.000    1.748    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
234311/177387    0.048    0.000    0.084    0.000 {built-in method builtins.hash}
     6113    0.048    0.000    0.062    0.000 uuid.py:132(__init__)
    39521    0.047    0.000    0.092    0.000 values.py:120(__init__)
55728/47222    0.047    0.000    0.233    0.000 {built-in method builtins.sorted}
    62922    0.047    0.000    0.441    0.000 ffi.py:67(__enter__)
   134176    0.047    0.000    0.072    0.000 event.py:50(_guard_kind)
   221296    0.046    0.000    0.046    0.000 _utils.py:13(is_used)
    18304    0.046    0.000    1.090    0.000 connection.py:390(_send_bytes)
     2631    0.046    0.000    0.159    0.000 numpy_support.py:354(ufunc_find_matching_loop)
    19478    0.045    0.000    0.229    0.000 builder.py:768(store)
    17068    0.045    0.000    0.213    0.000 ansitowin32.py:73(__init__)
    72610    0.044    0.000    0.073    0.000 structures.py:288(__new__)
     6085    0.043    0.000    0.107    0.000 parallel.py:76(get_active_backend)
     3287    0.043    0.000    0.059    0.000 analysis.py:91(liveness)
    10824    0.043    0.000    0.719    0.000 context.py:197(_call_incref_decref)
8947/4101    0.043    0.000   10.432    0.003 lowering.py:321(lower_inst)
    24298    0.042    0.000   13.816    0.001 threading.py:1017(_wait_for_tstate_lock)
    18225    0.042    0.000   13.859    0.001 threading.py:979(join)
    29072    0.042    0.000    0.074    0.000 functions.py:80(add_error)
     6090    0.042    0.000    0.042    0.000 {built-in method posix.pipe}
   181685    0.042    0.000    0.042    0.000 spectrum.py:743(intensity)
    50721    0.041    0.000    0.064    0.000 threading.py:258(_acquire_restore)
     6085    0.039    0.000    2.675    0.000 parallel.py:730(_initialize_backend)
    54366    0.039    0.000    0.125    0.000 contextlib.py:238(helper)
    21817    0.039    0.000    0.392    0.000 builder.py:964(extract_value)
     8534    0.039    0.000    0.341    0.000 errors.py:280(_markup)
    14912    0.038    0.000    0.140    0.000 context.py:532(_rate_arguments)
     6073    0.038    0.000   14.880    0.002 util.py:205(__call__)
     3606    0.038    0.000    0.153    0.000 analysis.py:235(compute_cfg_from_blocks)
     6085    0.038    0.000    0.038    0.000 disk.py:42(memstr_to_bytes)
    19038    0.038    0.000    0.201    0.000 builder.py:755(load)
    12148    0.038    0.000    1.244    0.000 __init__.py:8(_make_name)
54366/45329    0.037    0.000    0.345    0.000 contextlib.py:108(__enter__)
    25380    0.037    0.000    0.115    0.000 types.py:77(__call__)
   175662    0.036    0.000    0.085    0.000 {method 'get' of 'dict' objects}
   108988    0.036    0.000    0.755    0.000 ir.py:346(list_vars)
 2686/486    0.036    0.000   19.298    0.040 compiler_machinery.py:257(_runPass)
    21817    0.035    0.000    0.076    0.000 instructions.py:639(descr)
    21817    0.035    0.000    0.329    0.000 instructions.py:624(__init__)
        1    0.035    0.035    1.431    1.431 mgf.py:548(write)
